,city name,country,date,latitude,longitude,max temperature,humidity,cloudiness,wind speed
342,Doha,QA,1578261555,25.29,51.53,64.4,72,100,10.29
343,Nikki,BJ,1578261832,9.94,3.21,74.3,32,15,4.81
344,De Aar,ZA,1578261832,-30.65,24.01,71.08,27,0,2.82
345,Pirot,RS,1578261832,43.16,22.59,32.0,90,69,19.46
346,Marsa Matruh,EG,1578261535,31.35,27.25,53.6,66,20,14.99
347,Boyuibe,BO,1578261833,-20.43,-63.28,91.4,38,0,11.23
348,La Tuque,CA,1578261833,47.44,-72.79,13.55,87,74,7.18
349,Grindavik,IS,1578261833,63.84,-22.43,37.4,86,90,9.17
350,Neuquen,AR,1578261833,-38.95,-68.06,77.0,16,7,27.51
351,Sisimiut,GL,1578261833,66.94,-53.67,-1.3,96,100,6.71
352,San Pedro,AR,1578261833,-33.68,-59.66,86.0,48,67,1.99
353,Codrington,AU,1578261833,-28.95,153.24,78.01,73,75,4.7
354,Barbacoas,CO,1578261833,1.67,-78.14,70.34,98,80,2.73
355,Menongue,AO,1578261833,-14.66,17.68,63.59,92,92,3.4
356,Wukari,NG,1578261833,7.87,9.78,75.96,21,63,4.07
357,Lompoc,US,1578261643,34.64,-120.46,70.0,39,1,16.11
358,Staraya Toropa,RU,1578261834,56.28,31.67,27.39,91,98,4.41
359,Lokosovo,RU,1578261834,61.13,74.84,22.14,92,100,9.66
360,Xintai,CN,1578261834,35.91,117.76,38.25,98,100,2.84
361,Vostok,RU,1578261834,46.45,135.83,-5.44,98,90,3.24
362,Namibe,AO,1578261834,-15.19,12.15,73.89,90,79,11.88
363,Canyon,US,1578261812,34.98,-101.92,55.99,30,1,3.36
364,Victoria,BN,1578261834,5.28,115.24,80.6,83,75,4.7
365,Redlands,US,1578261834,34.06,-117.19,72.0,13,1,6.93
366,Ponta Delgada,PT,1578261834,37.73,-25.67,64.4,93,40,17.22
367,Povenets,RU,1578261834,62.85,34.83,12.65,93,1,5.01
368,Berlevag,NO,1578261834,70.86,29.09,24.8,85,75,10.29
369,Husavik,CA,1578261834,50.56,-96.99,27.0,60,37,8.01
370,Polunochnoye,RU,1578261835,60.87,60.43,16.2,87,81,4.0
371,Buala,SB,1578261835,-8.15,159.59,82.31,81,69,8.99
